,Project Type,Reference Number,Project Name,Agency,Published Date,Procurement Category,Closed Date,Current Status,Qualification Criteria,Respondents,Awarded To,Awarded Value
255,Tender,NPB000ETT19300048 / N/7/2019,"Design, Installation and Maintenance of Exhibition Space and Outdoor Signage",National Parks Board,06 Jun 2019 04:05PM,Construction ⇒ Signages,05 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
256,Quotation,MOESCHETQ19302914,"Design, fabrication of furniture and fittings in Staff Lounge & entrance to Staff Room, HOD Lounge & Entrance to HOD Room",Ministry of Education - Schools,06 Jun 2019 03:50PM,Construction ⇒ Renovation Supplies & Services,19 Jun 2019 01:00PM,CANCELLED,Not Applicable,,Not Applicable,Not Applicable
257,Request for Information,CAA000ERF19300003 / CAA000/SAA/2019/T02,PROVISION OF QUANTITY SURVEYING CONSULTANCY SERVICES TO SINGAPORE AVIATION ACADEMY,Civil Aviation Authority of Singapore,06 Jun 2019 12:05AM,Construction ⇒ Civil Engineering,26 Jun 2019 04:00PM,CLOSED,Not Applicable,,Not Applicable,Not Applicable
258,Quotation,RPO000ETQ19300078,"Quotation for Supply, install and or reconfigure workstations for a period of 3 years with an option to extend for another 3 years For OES",Republic Polytechnic,04 Jun 2019 03:20PM,Construction ⇒ Renovation Supplies & Services,25 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
259,Request for Information,MOMHQ0ERF19300001,Expression Of Interest (EOI) To Render Multi-Disciplinary Consultancy Services To Conduct Feasibility Studies For Ministry Of Manpower (MOM) Project,Ministry of Manpower-Ministry Headquarter,04 Jun 2019 01:20PM,Construction ⇒ Others,21 Jun 2019 04:00PM,CANCELLED,Not Applicable,,Not Applicable,Not Applicable
260,Quotation,MOESCHETQ19302892,"Design, supply and install wall mural(s) for Heritage Corner and school Hall.",Ministry of Education - Schools,04 Jun 2019 11:50AM,Construction ⇒ Signages,13 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
261,Quotation,HLTHQ0ETQ19300023 / MOH ITQ B07/19,"Invitation to Quote for Soil Investigation Works for the Proposed Development of a Nursing Home at Tampines Street 62, Singapore",Ministry of Health-Ministry Headquarter,04 Jun 2019 08:50AM,Construction ⇒ Soil Investigation & Stabilization,13 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
262,Tender,NPB000ETT19300045 / N/17/2019,TERM CONTRACT FOR THE MAINTENANCE AND UPGRADING WORKS OF PARK FACILITIES FOR PARKS IN PARKS CENTRAL SOUTH FOR A PERIOD OF THREE (3) YEARS,National Parks Board,04 Jun 2019 12:05AM,Construction ⇒ Others,01 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
263,Tender,NPB000ETT19300046 / N/18/2019,TERM CONTRACT FOR THE MAINTENANCE AND UPGRADING WORKS OF PARK FACILITIES FOR PARKS IN PARKS CENTRAL NORTH FOR A PERIOD OF THREE (3) YEARS,National Parks Board,04 Jun 2019 12:05AM,Construction ⇒ Others,01 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
264,Quotation,NLB000ETQ19300050 / 1000044239,INVITATION TO QUOTE FOR BRANDING & DESIGN CONSULTATION FOR NLB MAKERSPACE,National Library Board,03 Jun 2019 05:50PM,Construction ⇒ Interior Decoration,21 Jun 2019 01:00PM,NO AWARD,Not Applicable,,Not Applicable,Not Applicable
265,Qualification,HDB000EPQ19300001 / DPG-PN190002,Pre-Tender Qualification Exercise for Building Projects with Prefabricated Prefinished Volumetric Construction (Sub-Panel of Contractors),Housing and Development Board,03 Jun 2019 05:34PM,Construction ⇒ General Building & Minor Construction Works,24 Jun 2019 04:00PM,CLOSED,,,Not Applicable,Not Applicable
266,Quotation,MOESCHETQ19302872,Design and build school canteen and piano lounge area including green features in St. Hilda's Secondary School,Ministry of Education - Schools,03 Jun 2019 04:50PM,Construction ⇒ Renovation Supplies & Services,26 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
267,Quotation,RPO000ETQ19300099,"Quotation for design, supply and installation of perforated panels to existing shower cubicles for OES",Republic Polytechnic,03 Jun 2019 03:35PM,Construction ⇒ Renovation Supplies & Services,25 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
268,Quotation,HDB000ETQ19300153 / PLG-QN190024,QUOTATION FOR MINOR BUILDING WORKS AT MARSILING MALL,Housing and Development Board,03 Jun 2019 02:50PM,Construction ⇒ Others,12 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
269,Tender,HDB000ETT19300142 / HMG-TN190039,Addition and Alteration Works to Car Parks (C6),Housing and Development Board,03 Jun 2019 01:05PM,Construction ⇒ Civil Engineering,08 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
270,Quotation,PAS000ETQ19300143 / PA-ITQ-2019-0142,"Proposed CMP to Hougang CCC (Sunlove Senior Activity Centre), Yuhua Zone 7 SCC and Telok Blangah CCSCC",People's Association,03 Jun 2019 11:35AM,Construction ⇒ Repairs & Redecoration,24 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
271,Quotation,TPO000ETQ19300136 / SDAA/19/0111/LP,INVITATION TO QUOTE FOR CONSTRUCTION OF NEW CONCRETE FOOTPATH ALONG SLOPE OF TEMBUSU FIELD TO SWIMMING POOL COMPLEX AT TEMASEK POLYTECHNIC,Temasek Polytechnic,03 Jun 2019 12:05AM,Construction ⇒ Concrete Products & Repairs,21 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
272,Tender,SFA000ETT19400005 / SFA000(P)003(19),Invitation to Tender for the Provision of Design and Build Services for Office Fit-Out,Singapore Food Agency,31 May 2019 05:50PM,Construction ⇒ Renovation Supplies & Services,26 Jun 2019 04:00PM,AWARDED,Not Applicable,,,
273,Tender,LTA000ETT19300107 / RC125,Completion Contract for Cladding System for Road Tunnel,Land Transport Authority,31 May 2019 05:35PM,Construction ⇒ Civil Engineering,17 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
274,Qualification,LTA000EPQ19300008 / 2PQ-ITTC 190,Tender cum Pre-Qualification for Design and Construction of Integrated Train Testing Centre,Land Transport Authority,31 May 2019 05:05PM,Construction ⇒ Civil Engineering,01 Jul 2019 12:00PM,CLOSED,"The Pre-qualification for the Contract was advertised in GeBIZ on 20 December 2018 and all applicants have been informed of their applications. Tender Documents will ONLY be issued to the pre-qualified tenderers on 31 May 2019 for Contract 190. Those who wish to be considered for the 2nd (final) pre-qualification for the Contract 190 will need to submit their pre-qualification applications as detailed in the PQ brochure. Interested applicants are required to submit previous and current records of similar work done and details of key staff with relevant design and construction, equipment and financial capacity for LTA's consideration. Applicants should demonstrate that they have the necessary: (a) Technical expertise, project management capability in the design and construction of similar works; and (b) Financial capacity to undertake and sustain a multi-million-dollar project in Singapore.",No Respondents Despite Closed/Awarded,Not Applicable,Not Applicable
275,Quotation,MOESCHETQ19302822,Provision to install a weatherproof ALP wall outside and inside school canteen,Ministry of Education - Schools,31 May 2019 03:20PM,Construction ⇒ Repairs & Redecoration,14 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
276,Tender,HDB000ETT19300146 / DPG-TN190069,"Demolition of residential blocks, surface carpark and ancillary structures at Bedok South Ave 3",Housing and Development Board,31 May 2019 12:05PM,Construction ⇒ Demolition,03 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
277,Tender,HDB000ETT19300145 / DPG-TN190068,"Part A: Building Works at Punggol North Contract 15 (Total:1,179 Dwelling Units); Part B: Contingency Works",Housing and Development Board,31 May 2019 12:05PM,Construction ⇒ General Building & Minor Construction Works,02 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
278,Quotation,NEA000ETQ19300082,Soil Investigation at Choa Chu Kang Cemetery,National Environment Agency,31 May 2019 10:05AM,Construction ⇒ Soil Investigation & Stabilization,11 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
279,Tender,BCA000ETT19300020 / BCA T-724/2019,PROPOSED ESTATE UPGRADING PROGRAMME (EUP) BATCH 9 AT JALAN MERBOK ESTATE,Building and Construction Authority,31 May 2019 08:50AM,Construction ⇒ General Building & Minor Construction Works,28 Jun 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
280,Tender,PUB000ETT19300124 / PUB000/WSN-PW/33190128,Replacement of Water Mains for Network Renewal Division for Year 2019 to 2022 Package 3,Public Utilities Board,31 May 2019 05:50AM,Construction ⇒ Pipe or Cable Laying & Road Reinstatement,27 Jun 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
281,Request for Information,SLA000ERF19300002 / PT19-5/7-1/214,EOI For The Multi-Disciplinary Consultancy Services For Restoration Works To Conserved State Properties At Veerasamy Road and Chitty Road,Singapore Land Authority,30 May 2019 06:05PM,Construction ⇒ Others,14 Jun 2019 04:00PM,CLOSED,Not Applicable,No Respondents Despite Closed/Awarded,Not Applicable,Not Applicable
282,Quotation,ITE000ETQ19300141,Q18387_DPJ: Enhancement works to covered Terrace at enterprise Zone for ITE college,Institute of Technical Education,30 May 2019 05:05PM,Construction ⇒ Renovation Supplies & Services,13 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
283,Quotation,NPB000ETQ19300066 / NPB000EAR19300648,INVITATION TO QUOTE FOR THE SUPPLY AND INSTALLATION OF TWO (2) NOS. OF SMART DISPLAY BOARDS OR E-BOARDS,National Parks Board,30 May 2019 04:20PM,Construction ⇒ Signages,14 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
284,Quotation,MOESCHETQ19302824,To Supply and Install Invisible Grille at the surrounding of ISH corridor,Ministry of Education - Schools,30 May 2019 04:05PM,Construction ⇒ Fencing & Ironworks,10 Jun 2019 01:00PM,NO AWARD,Not Applicable,,Not Applicable,Not Applicable
285,Quotation,MOESCHETQ19302801,Installation of National Education Wall,Ministry of Education - Schools,30 May 2019 03:35PM,Construction ⇒ Renovation Supplies & Services,13 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
286,Tender,PAS000ETT19300088 / PA-ITT-2019-0073,TENDER FOR INTERIOR DESIGN WORKS TO THE EXISTING RADIN MAS COMMUNITY CLUB AT 51 TELOK BLANGAH CRESCENT (BUKIT MERAH PLANNING AREA),People's Association,30 May 2019 02:35PM,Construction ⇒ Interior Decoration,13 Jun 2019 04:00PM,AWARDED,Not Applicable,,,
287,Quotation,MOESCHETQ19302820,Design and renovation work for Boon Lay Secondary School Library,Ministry of Education - Schools,30 May 2019 02:20PM,Construction ⇒ Renovation Supplies & Services,17 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
288,Quotation,MOESCHETQ19302817 / NIL,INVITATION TO QUOTE FOR RENOVATION OF SCHOOL GARDEN,Ministry of Education - Schools,30 May 2019 12:05PM,Construction ⇒ Renovation Supplies & Services,10 Jun 2019 01:00PM,NO AWARD,Not Applicable,,Not Applicable,Not Applicable
289,Tender,SPC000ETT19300029,Proposed Development of Sport Facility - Design and Build of Infrastructure,Singapore Sports Council,29 May 2019 07:05PM,Construction ⇒ General Building & Minor Construction Works,18 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
290,Tender,TPO000ETT19300017 / TPO000/EFM/02/19,Tender for Proposed Additions & Alterations to Part 9th Storey of Existing Block 27 (Heritage Gallery),Temasek Polytechnic,29 May 2019 03:50PM,Construction ⇒ General Building & Minor Construction Works,17 Jun 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
291,Quotation,NAC000ETQ19300011,INVITATION TO QUOTE: FIT OUT WORKS FOR FOUR (4) UNITS AT WISMA GEYLANG SERAI,National Arts Council,29 May 2019 02:50PM,Construction ⇒ Repairs & Redecoration,12 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
292,Quotation,SFA000ETQ19400007,"Supply of Labour, Machinery, Equipment, Materials, and Other Logistics Arrangements for The Renovation Works at JFP Market Block Male & Female Toilets",Singapore Food Agency,28 May 2019 05:50PM,Construction ⇒ Others,19 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
293,Quotation,MOE000ETQ19300233 / MOE/SCD/GOVT/BLDG/2019/MAY/Q7,REGISTERED INSPECTOR (M&E) SERVICES FOR INSPECTION OF FIRE SAFETY WORKS (PERFORMANCE-BASED) FOR PROPOSED CONSTRUCTION OF EUNOIA JUNIOR COLLEGE,Ministry of Education,28 May 2019 04:05PM,Construction ⇒ Civil Engineering,06 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
294,Tender,STB000ETT19300039 / STB/CIPM/19-20/T10,Tender for Proposed refurbishment works to Marina Bay Cruise Centre Singapore at 61 Marina Coastal Drive Singapore 018947,Singapore Tourism Board,28 May 2019 03:35PM,Construction ⇒ General Building & Minor Construction Works,14 Jun 2019 04:00PM,AWARDED,Not Applicable,,,
295,Quotation,HDB000ETQ19300145 / PLG-QN190022,Quotation for soil investigation works,Housing and Development Board,28 May 2019 02:20PM,Construction ⇒ Soil Investigation & Stabilization,18 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
296,Quotation,MOESCHETQ19302758,Provision of granite/stone flake epoxy coating to wall and floor tiles in total of 21 toilets and changing rooms at Nanyang Junior College,Ministry of Education - Schools,28 May 2019 01:50PM,Construction ⇒ Repairs & Redecoration,07 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
297,Tender,HDB000ETT19300133 / HMG-TN190036,Addition And Alteration Works At Sunshine Place,Housing and Development Board,27 May 2019 04:50PM,Construction ⇒ General Building & Minor Construction Works,05 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
298,Tender,HDB000ETT19300141 / DPG-TN190066,"Part A: Building Works at Punggol North Contract 11/12 and Common Green (Total: 1,545 Dwelling Units); Part B: Contingency Works",Housing and Development Board,27 May 2019 04:35PM,Construction ⇒ General Building & Minor Construction Works,31 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
299,Tender,LTA000ETT19300103 / 1900,Advance Works for Integrated Train Testing Centre,Land Transport Authority,27 May 2019 03:05PM,Construction ⇒ Civil Engineering,08 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
300,Tender,LTA000ETT19300101 / 1417,"Term Contract for Supply, Fabrication and Installation of Signage at Transit and Commuter Facilities",Land Transport Authority,27 May 2019 02:50PM,Construction ⇒ Signages,24 Jun 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
301,Tender,FINCEDETT19300008 / ALB/09/2019,Tender for Renovation and Alteration Works for Singapore Customs Offices at Revenue House,Ministry of Finance - Singapore Customs,27 May 2019 02:20PM,Construction ⇒ Renovation Supplies & Services,20 Jun 2019 04:00PM,AWARDED,Not Applicable,,,
302,Quotation,MOESCHETQ19302731,Supply and Installation of Digital Signage System in St. Margaret's Secondary School,Ministry of Education - Schools,27 May 2019 07:20AM,Construction ⇒ Signages,07 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
303,Quotation,HLTHQ0ETQ19300022 / MOH ITQ B06/19,"Invitation to Quote for Underground Services Detection Works for the Proposed Development of a Nursing Home at Tampines Street 62, Singapore",Ministry of Health-Ministry Headquarter,27 May 2019 12:05AM,Construction ⇒ Others,04 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
304,Quotation,DEFEPS3000034787,Installation of new traffic light controlling system for existing traffic lights at Gombak Base,Ministry of Defence 3,25 May 2019 12:00AM,Construction ⇒ Others,04 Jun 2019 01:00PM,AWARDED,Not Applicable,No Respondents Despite Closed/Awarded,,
305,Qualification,SDC000EPQ19300002 / SDC/21.8.19/19,"DESIGN, SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF DIGITAL LIGHT ART AT SENTOSA",Sentosa Development Corporation,24 May 2019 06:05PM,Construction ⇒ Others,06 Jun 2019 04:00PM,CLOSED,Please refer to the Attachment 2 - Evaluation Criteria of the PQE Document.,,Not Applicable,Not Applicable
306,Quotation,SDC000ETQ19300033,Provision of Wood Supplies,Sentosa Development Corporation,24 May 2019 05:05PM,Construction ⇒ Renovation Supplies & Services,04 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
307,Quotation,NEA000ETQ19300073,Repair Works of Underground Sewage Pipe at Geylang Serai Market,National Environment Agency,24 May 2019 05:05PM,Construction ⇒ Others,07 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
308,Quotation,MOESCHETQ19302709,Accredited Checker (AC) Services for proposed addition & alteration to existing St.Margaret's Primary School,Ministry of Education - Schools,24 May 2019 10:50AM,Construction ⇒ Civil Engineering,03 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
309,Quotation,LTA000ETQ19300119 / CQ1904,Groundwork enhancements for Bus Interchange,Land Transport Authority,24 May 2019 09:05AM,Construction ⇒ Others,11 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
310,Tender,MAS000ETT19300019 / CSD/T/19/NEWATER/FK/012,INVITATION TO TENDER FOR THE CONSTRUCTION OF NEWATER INFRASTRUCTURE IN MAS BUILDING,Monetary Authority of Singapore,23 May 2019 02:50PM,Construction ⇒ General Building & Minor Construction Works,21 Jun 2019 04:00PM,AWARDED,Not Applicable,,,
311,Quotation,MOESCHETQ19302679,Construction of a feature panel and installation of pillar wrap with acrylic frame,Ministry of Education - Schools,22 May 2019 04:05PM,Construction ⇒ Signages,30 May 2019 01:00PM,AWARDED,Not Applicable,,,
312,Tender,MDA000ETT19300009 / IMDA-ITT-20190019,"DESIGN, BUILD AND ENHANCEMENT WORKS OF A CO-WORKING SPACE FOR IMDA AT PIXEL BUILDING, 10 CENTRAL EXCHANGE GREEN, SINGAPORE 138649",Info-communications Media Development Authority,22 May 2019 03:05PM,Construction ⇒ Renovation Supplies & Services,17 Jun 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
313,Quotation,NPB000ETQ19300058 / NPB000EAR19300234,INVITATION TO QUOTE FOR THE PROVISION OF ACCREDITED CHECKER SERVICES FOR PROPOSED BRIDGE ACROSS EXISTING PANG SUA CANAL AND ANCILLARY WORKS AT EXISTIN,National Parks Board,22 May 2019 02:04PM,Construction ⇒ Civil Engineering,06 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
314,Tender,HDB000ETT19300136 / BIG-TN190027,Major Infrastructure Works At Tampines North (Phase 3C),Housing and Development Board,22 May 2019 12:50PM,Construction ⇒ Civil Engineering,10 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
315,Quotation,MOESCHETQ19302643,"Jiemin Primary School: ITQ for design, supply and install organisation chart within school's premises in 2019",Ministry of Education - Schools,21 May 2019 02:50PM,Construction ⇒ Interior Decoration,07 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
316,Quotation,SCB000ETQ19300046 / SCB000ETQ19300046,STRUCTURAL INSPECTION OF SCIENCE CENTRE BUILDING,Science Centre Board,21 May 2019 12:05AM,Construction ⇒ Civil Engineering,31 May 2019 01:00PM,AWARDED,Not Applicable,,,
317,Tender,RPO000ETT19300029,Tender for Proposed Addition and Alteration Interior Fit-Out Works to Republic Polytechnic Learning Space for OES,Republic Polytechnic,17 May 2019 06:05PM,Construction ⇒ Repairs & Redecoration,14 Jun 2019 04:00PM,AWARDED,Not Applicable,,,
318,Quotation,PAS000ETQ19300132 / PA-ITQ-2019-0331,PROPOSED CYCLICAL MAINTENANCE PROGRAMME TO PUNGGOL SAPPHIRES RC LOCATED AT BLK 268D PUNGGOL FIELD #01-173 SINGAPORE 824268,People's Association,17 May 2019 06:05PM,Construction ⇒ General Building & Minor Construction Works,31 May 2019 01:00PM,AWARDED,Not Applicable,,,
319,Tender,RPO000ETT19300025,Tender for Addition of Landscape and Physical Barriers at Republic Polytechnic for OES,Republic Polytechnic,17 May 2019 05:05PM,Construction ⇒ General Building & Minor Construction Works,17 Jun 2019 04:00PM,AWARDED,Not Applicable,,,
320,Quotation,PUB000ETQ19300124 / 44190155,44190155/C&W/Repair of spalling reinforced concrete and expansion joints at the old Pandan Tidal Gates structure.,Public Utilities Board,17 May 2019 04:50PM,Construction ⇒ Concrete Products & Repairs,30 May 2019 01:00PM,AWARDED,Not Applicable,,,
321,Tender,JTC000ETT19300077 / JTC18T0210,Construction of Infrastructure Works at Bulim (Phase 1),Jurong Town Corporation,17 May 2019 11:05AM,Construction ⇒ Civil Engineering,09 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
322,Tender,LTA000ETT19300097 / PL217,Construction of Cycling Path Network,Land Transport Authority,17 May 2019 09:35AM,Construction ⇒ Civil Engineering,03 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
323,Quotation,MOESCHETQ19302616,"Quotation To Supply, Installation and Commissioning of Renovation for Staff Room 2 & Two CCA Rooms",Ministry of Education - Schools,17 May 2019 08:50AM,Construction ⇒ Renovation Supplies & Services,14 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
324,Tender,SPC000ETT19300024,PROVISION OF DETECTION SERVICES FOR A SPORT CENTRE AND NEIGHBOURING AREAS,Singapore Sports Council,17 May 2019 12:05AM,Construction ⇒ Soil Investigation & Stabilization,19 Jun 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
325,Quotation,DEFEPS3000034739,"Provision of Display Boards, Banners and Related Services",Ministry of Defence 3,16 May 2019 12:00AM,Construction ⇒ Signages,28 May 2019 01:00PM,AWARDED,Not Applicable,No Respondents Despite Closed/Awarded,,
326,Quotation,MOE000ETQ19300213 / MOE000/HQS/HQFM/Q/2019/05/02,INVITATION TO QUOTE FOR SOIL INVESTIGATION WORKS FOR PROPOSED ADDITIONS AND ALTERATIONS TO MOEHQ OFF-SITE AT 565 BALESTIER ROAD SINGAPORE 329927,Ministry of Education,15 May 2019 06:05PM,Construction ⇒ Soil Investigation & Stabilization,24 May 2019 01:00PM,AWARDED,Not Applicable,,,
327,Quotation,MOE000ETQ19300214 / MOE000/HQS/HQFM/Q/2019/05/03,INVITATION TO QUOTE FOR UNDERGROUND SERVICES DETECTION FOR PROPOSED ADDITIONS AND ALTERATIONS TO MOEHQ OFF-SITE AT 565 BALESTIER ROAD SINGAPORE 329927,Ministry of Education,15 May 2019 06:05PM,Construction ⇒ Civil Engineering,24 May 2019 01:00PM,AWARDED,Not Applicable,,,
328,Tender,PAS000ETT19300079 / PA-ITT-2019-0065,ITT FOR NOMINATED SUB-CONTRACT FOR INTERIOR DESIGN WORKS FOR PROPOSED ADDITIONS AND ALTERATIONS AND EXTENSION TO EXISTING 4-STOREY JURONG SPRING CC,People's Association,15 May 2019 05:20PM,Construction ⇒ Interior Decoration,31 May 2019 04:00PM,AWARDED,Not Applicable,,,
329,Tender,NPO000ETT19300022 / NP/DEO/48C/18,"(Tender Ref: NP/DEO/48C/18, GRF no.: DEO/19/0003) Proposed new linkways and Additions & Alterations to existing linkways at Ngee Ann Polytechnic",Ngee Ann Polytechnic,15 May 2019 05:05PM,Construction ⇒ Others,13 Jun 2019 04:00PM,AWARDED,Not Applicable,,,
330,Quotation,MOESCHETQ19302585,"Engagement of vendors to design, renovation and supply of furniture and fittings for School Library for Marsiling Primary School",Ministry of Education - Schools,15 May 2019 04:50PM,Construction ⇒ Renovation Supplies & Services,27 May 2019 01:00PM,AWARDED,Not Applicable,,,
331,Quotation,PUB000ETQ19300121 / 44190149,"44190149/WSP/Supply, Deliver, Installation And Commissioning Of Electronic Safety Board At Twelve (12) Water Supply Plants.",Public Utilities Board,15 May 2019 04:50PM,Construction ⇒ Signages,30 May 2019 01:00PM,AWARDED,Not Applicable,,,
332,Tender,STB000ETT19300033 / STB/F1/19-20/T9,"TENDER FOR FABRICATION, INSTALLATION AND MAINTENANCE OF PERMANENT AND MOBILE DISPLAYS AT F1 PIT BUILDING",Singapore Tourism Board,15 May 2019 02:35PM,Construction ⇒ Signages,30 May 2019 04:00PM,AWARDED,Not Applicable,,,
333,Tender,HDB000ETT19300134 / BIG-TN190028,"Relocation Of Covered Pedestrian Overhead Bridge, Covered Linkways, Bus Shelter & Bus Bay, Reconstruction Of Footpath & Drain At Tampines Ave1(Blk806)",Housing and Development Board,15 May 2019 11:50AM,Construction ⇒ Civil Engineering,19 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
334,Quotation,MOESCHETQ19302565,Design and build a flexible learning environment to support Teaching and Learning,Ministry of Education - Schools,15 May 2019 11:50AM,Construction ⇒ Renovation Supplies & Services,27 May 2019 01:00PM,NO AWARD,Not Applicable,,Not Applicable,Not Applicable
335,Quotation,SPC000ETQ19300036,"DESIGN, SUPPLY AND INSTALLATION OF MOVABLE OFFICE AND CHANGING ROOM FACILITY WITH TOILETS FOR INTERIM DURATION",Singapore Sports Council,15 May 2019 11:20AM,Construction ⇒ Renovation Supplies & Services,24 May 2019 01:00PM,NO AWARD,Not Applicable,,Not Applicable,Not Applicable
336,Quotation,DEFEPS3000034727,Fabrication of Display Stands,Ministry of Defence 3,15 May 2019 12:00AM,Construction ⇒ Signages,27 May 2019 01:00PM,AWARDED,Not Applicable,No Respondents Despite Closed/Awarded,,
337,Quotation,MAS000ETQ19300049 / CSD/Q/19/RENO/LSH/011,INVITATION TO QUOTE FOR RENOVATION PROJECT TO SET UP PROJECT ROOM AT MAS BUILDING (PR1100008586CSD - CSD/Q/19/RENO/LSH/011),Monetary Authority of Singapore,14 May 2019 02:20PM,Construction ⇒ Renovation Supplies & Services,03 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
338,Quotation,MOESCHETQ19302530,South View Primary School: Green Space for learning,Ministry of Education - Schools,14 May 2019 11:05AM,Construction ⇒ Renovation Supplies & Services,27 May 2019 01:00PM,AWARDED,Not Applicable,,,
339,Tender,SPO000ETT19300048 / SP/ED/19004/GBC,RO19/ED/0028 Proposed intumescent painting of the SPCC roof beams & beam below catwalk area for one hour fire rating at SP Convention Centre,Singapore Polytechnic,14 May 2019 09:35AM,Construction ⇒ Repairs & Redecoration,04 Jun 2019 04:00PM,AWARDED,Not Applicable,,,
340,Tender,JTC000ETT19300079 / JTC19T0018,PROPOSED NEW ERECTION OF 9 UNITS OF 2-STOREY STANDARD FACTORIES AT SELETAR AEROSPACE LINK,Jurong Town Corporation,14 May 2019 12:05AM,Construction ⇒ Others,17 Jun 2019 04:00PM,AWARDED,Not Applicable,,,
341,Quotation,HLTHQ0ETQ19300020 / MOH ITQ B01/19,"Invitation to quote for Underground Services Detection Work for the Proposed Development of a Polyclinic at Tampines North, Singapore",Ministry of Health-Ministry Headquarter,14 May 2019 12:05AM,Construction ⇒ Others,29 May 2019 01:00PM,AWARDED,Not Applicable,,,
342,Quotation,DEFEPS3000034683,"Provision of Banners, Flags and Related Services",Ministry of Defence 3,14 May 2019 12:00AM,Construction ⇒ Signages,24 May 2019 01:00PM,AWARDED,Not Applicable,No Respondents Despite Closed/Awarded,,
343,Quotation,MOE000ETQ19300201 / MOE000/HQS/HQFM/Q/2019/05/01,"Topography,boundary and cadastral survey for proposed additions and alterations to MOEHQ Off-Site at 565 Balestier Road Singapore 329927",Ministry of Education,13 May 2019 04:35PM,Construction ⇒ Civil Engineering,23 May 2019 01:00PM,AWARDED,Not Applicable,,,
344,Tender,BCA000ETT19300016 / BCA T-721/2019,PROPOSED ESTATE UPGRADING PROGRAMME (EUP) BATCH 9 AT TOH TUCK ESTATE,Building and Construction Authority,13 May 2019 12:05AM,Construction ⇒ General Building & Minor Construction Works,10 Jun 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
